"PUBID","P5-101","CV_HH_POV_RATIO","YAST25-3310_COMB","YAST25-3320_COMB","CVC_TTL_RESIDENCES"
238,-4,-4,5,97,-4
239,1,1627,4,-4,9
240,1,1627,4,-4,7
241,1,417,5,1,4
242,1,417,5,1,5
243,1,-3,4,-4,13
244,1,139,5,1,3
245,-4,-4,5,1,-4
246,1,-3,5,1,12
247,2,156,4,-4,13
248,2,156,5,1,6
249,-4,-4,-4,-4,-4
250,1,592,-4,-4,4
251,1,236,5,1,4
252,1,236,5,97,3
253,-4,-4,-4,-4,-4
254,1,-3,5,1,4
255,1,-3,-4,-4,6
256,1,230,5,1,3
257,1,230,5,1,1
258,-4,-4,4,-4,-4
259,1,-3,-4,-4,1
260,-4,-4,5,1,-4
261,2,-3,4,-4,6
262,-4,-4,5,1,-4
263,-4,-4,5,1,-4
264,-4,-4,1,-4,-4
265,2,81,4,-4,-3
266,1,293,3,-4,11
267,1,253,5,1,4
268,1,380,4,-4,15
269,1,519,-4,-4,7
270,1,519,4,-4,7
271,1,330,4,-4,4
272,2,-3,4,-4,21
273,-4,-4,-4,-4,-4
274,2,0,4,-4,-3
275,-4,-3,4,-4,-4
276,2,0,1,-4,3
277,2,0,4,-4,-3
278,1,390,4,-4,9
279,1,1627,-4,-4,6
280,1,1627,1,-4,5
281,2,23,4,-4,6
282,1,-3,5,97,7
283,1,-3,5,1,2
284,2,-3,4,-4,10
285,2,-3,4,-4,12
286,-4,-4,1,-4,-4
287,1,-3,5,1,8
288,1,-3,4,-4,2
289,1,-3,1,-4,4
290,1,440,4,-4,8
291,1,289,4,-4,10
292,2,157,4,-4,6
293,1,385,5,1,6
294,-4,-4,4,-4,-4
295,1,465,4,-4,4
296,2,283,5,1,6
297,2,283,4,-4,5
298,1,336,5,2,9
299,1,-3,5,1,4
300,1,-3,4,-4,-3
301,1,275,4,-4,-3
302,1,-3,-4,-4,1
303,1,-3,4,-4,14
304,1,-3,5,1,2
305,1,-3,5,1,8
306,-4,-3,4,-4,-4
307,-4,-3,4,-4,-4
308,-4,-3,4,-4,-4
309,-4,-3,4,-4,-4
310,-4,-3,4,-4,-4
311,-4,-4,4,-4,-4
312,-4,-4,5,1,-4
313,1,1627,4,-4,11
314,1,1627,4,-4,7
315,1,684,5,1,11
316,1,-3,2,-4,6
317,-4,-4,4,-4,-4
318,2,-3,-4,-4,2
319,2,503,-4,-4,2
320,1,370,-4,-4,4
321,-4,-4,4,-4,-4
322,1,222,5,1,3
323,1,943,4,-4,6
324,-4,-4,-4,-4,-4
325,-4,-4,5,1,-4
326,1,-3,4,-4,8
327,-4,-4,5,1,-4
328,2,240,-4,-4,2
329,-4,-4,5,3,-4
330,-4,-4,-4,-4,-4
331,1,-3,1,-4,2
332,1,-3,4,-4,4
333,1,-3,4,-4,4
334,1,749,5,97,4
335,-4,-4,5,1,-4
336,1,-3,5,1,4
337,1,804,4,-4,8
338,1,1627,1,-4,3
339,2,102,4,-4,9
340,2,83,5,1,7
341,-4,-4,4,-4,-4
342,-4,-4,4,-4,-4
343,-4,-4,5,10,-4
344,-4,-4,5,97,-4
345,-4,-4,4,-4,-4
346,2,0,4,-4,7
347,1,-3,4,-4,2
348,1,-3,4,-4,2
349,1,-3,4,-4,7
350,1,257,1,-4,6
351,1,93,2,-4,4
352,1,93,4,-4,8
353,1,93,4,-4,11
354,1,13,4,-4,5
355,1,13,1,-4,9
356,2,139,4,-4,4
357,1,97,4,-4,6
358,1,97,4,-4,5
359,1,97,4,-4,7
360,-4,-4,4,-4,-4
361,-4,222,-4,-4,-4
362,2,174,4,-4,17
363,2,174,4,-4,13
364,2,80,-4,-4,6
365,2,182,4,-4,44
366,-4,-4,1,-4,-4
367,-4,-4,5,97,-4
368,1,-3,5,1,1
369,1,-3,-4,-4,1
370,1,427,5,97,14
371,1,427,4,-4,11
372,-4,-4,4,-4,-4
373,2,47,4,-4,-4
374,-4,335,5,1,6
375,1,-3,-4,-4,3
376,1,317,1,-4,13
377,2,-3,4,-4,7
378,1,554,4,-4,4
379,1,553,-4,-4,3
380,2,0,4,-4,5
381,1,0,5,1,2
382,-4,-3,4,-4,-4
383,1,0,-4,-4,1
384,2,233,-4,-4,3
385,1,224,4,-4,9
386,2,-3,4,-4,10
387,2,-3,2,-4,13
388,-4,-4,4,-4,-4
389,1,506,4,-4,7
390,1,138,4,-4,8
391,-4,-4,5,1,-4
392,1,-3,4,-4,5
393,-4,-4,4,-4,-4
394,-4,-4,4,-4,-4
395,2,440,5,1,3
396,1,393,4,-4,13
397,1,628,4,-4,12
398,-4,-4,5,1,-4
399,1,191,-4,-4,1
400,1,191,-4,-4,4
401,1,791,5,1,18
402,-4,-4,4,-4,-4
403,2,-3,4,-4,19
404,1,222,4,-4,10
405,1,222,-4,-4,5
406,1,222,-4,-4,8
407,2,31,4,-4,11
408,2,-3,5,1,5
409,2,-3,4,-4,10
410,2,-3,5,97,18
411,-4,-4,4,-4,-4
412,-4,-4,4,-4,-4
413,-4,-4,4,-4,-4
414,2,24,4,-4,5
415,1,943,5,1,12
416,1,-3,4,-4,21
417,1,1627,5,1,11
418,1,833,-4,-4,5
419,1,-3,5,1,4
420,1,-3,5,1,7
421,1,261,5,1,2
422,1,647,4,-4,10
423,1,647,5,1,6
424,1,374,4,-4,11
425,1,616,4,-4,10
426,2,95,4,-4,16
427,2,166,-4,-4,5
428,-4,-4,4,-4,-4
429,2,4,5,5,7
430,1,276,4,-4,2
431,2,0,-4,-4,7
432,2,155,4,-4,7
433,2,155,4,-4,4
434,2,1627,5,1,16
435,2,99,1,-4,3
436,2,0,4,-4,3
437,2,93,1,-4,8
438,2,93,4,-4,8
439,2,93,4,-4,8
440,2,21,4,-4,13
441,2,21,4,-4,6
442,-4,-4,1,-4,-4
443,2,94,4,-4,16
444,2,94,4,-4,14
445,-4,-4,4,-4,-4
446,-4,-4,4,-4,-4
447,2,-3,4,-4,3
448,2,-3,5,1,2
449,2,80,-4,-4,2
450,2,54,4,-4,19
451,2,54,4,-4,14
452,2,76,4,-4,26
453,2,76,4,-4,14
454,2,66,4,-4,8
455,2,283,4,-4,3
456,2,-3,4,-4,9
457,-4,-4,4,-4,-4
458,-4,-4,4,-4,-4
459,2,-3,4,-4,1
460,2,-3,4,-4,7
461,2,-3,5,2,8
462,2,-3,4,-4,9
463,2,-3,3,-4,10
464,2,-3,5,1,7
465,2,-3,4,-4,7
466,-4,-4,4,-4,-4
467,2,56,4,-4,5
468,2,101,4,-4,8
469,2,101,4,-4,1
470,-4,-4,4,-4,-4
471,2,110,4,-4,5
472,2,110,4,-4,3
473,2,28,4,-4,13
474,-4,-4,4,-4,-4
475,1,-3,1,-4,5
476,-4,-4,4,-4,-4
477,-4,-4,4,-4,-4
478,1,-3,4,-4,4
479,-4,-4,4,-4,-4
480,1,66,5,2,10
481,1,66,5,1,7
482,2,2,4,-4,5
483,1,373,5,1,16
484,1,373,5,1,9
485,-4,-4,4,-4,-4
486,1,471,5,1,8
487,1,471,5,1,2
488,2,269,-4,-4,8
489,2,240,4,-4,7
490,2,283,5,1,10
491,2,283,-4,-4,2
492,-4,-4,5,1,-4
493,-4,-4,-4,-4,-4
494,-4,-4,-4,-4,-4
495,-4,-4,-4,-4,-4
496,-4,-4,-4,-4,-4
497,1,326,3,-4,6
498,1,305,4,-4,15
499,1,301,-4,-4,1
500,3,-3,-4,-4,1
501,3,-3,-4,-4,3
502,3,-3,-4,-4,6
503,1,401,4,-4,12
504,2,230,-4,-4,13
505,1,652,5,1,1
506,2,444,-4,-4,2
507,-4,-4,1,-4,-4
508,2,-3,4,-4,4
509,2,92,1,-4,-3
510,2,59,4,-4,9
511,-4,-4,1,-4,-4
512,2,181,4,-4,13
513,2,181,4,-4,12
514,2,80,4,-4,2
515,2,77,4,-4,10
516,2,77,4,-4,-3
517,-4,-4,4,-4,-4
518,-4,-4,4,-4,-4
519,-4,3,4,-4,-4
520,-4,-4,4,-4,-4
521,-4,-4,4,-4,-4
522,2,119,4,-4,9
523,1,178,4,-4,18
524,-4,-4,4,-4,-4
525,2,47,4,-4,3
526,2,47,4,-4,7
527,1,1627,4,-4,5
528,1,1627,5,97,15
529,2,80,5,1,12
530,1,707,5,1,3
531,-4,-4,-4,-4,-4
532,-4,-4,-4,-4,-4
533,-4,-4,5,1,-4
534,-4,-4,2,-4,-4
535,-4,-4,1,-4,-4
536,-4,-4,4,-4,-4
537,2,231,3,-4,22
538,2,231,5,1,14
539,1,237,-4,-4,5
540,1,237,4,-4,11
541,-4,-4,-4,-4,-4
542,2,548,5,1,14
543,2,340,5,1,12
544,1,559,4,-4,7
545,-4,-4,4,-4,-4
546,1,-3,5,1,7
547,1,-3,4,-4,6
548,1,499,2,-4,8
549,2,742,5,6,13
550,1,-3,-4,-4,6
551,1,-3,4,-4,10
552,1,508,-4,-4,5
553,1,508,-4,-4,3
554,1,179,5,97,20
555,1,-3,4,-4,11
556,1,-3,1,-4,12
557,1,272,5,1,14
558,1,796,4,-4,13
559,1,528,5,1,3
560,1,265,4,-4,8
561,1,265,1,-4,6
562,1,176,5,1,5
563,1,-3,5,1,5
564,1,366,4,-4,7
565,1,-3,2,-4,12
566,-4,-4,3,-4,-4
567,1,374,-4,-4,4
568,1,374,4,-4,8
569,1,444,-4,-4,3
570,1,444,-4,-4,2
571,1,482,3,-4,7
572,1,482,5,10,12
573,1,111,4,-4,11
574,1,111,4,-4,13
575,1,-3,4,-4,12
576,1,542,5,1,2
577,1,542,1,-4,7
578,1,403,4,-4,7
579,1,253,5,1,3
580,1,253,5,1,6
581,2,97,4,-4,10
582,2,97,4,-4,8
583,2,182,5,1,8
584,-4,-4,4,-4,-4
585,-4,-4,4,-4,-4
586,2,250,5,2,22
587,2,250,4,-4,14
588,2,51,5,97,13
589,2,51,5,2,16
590,2,380,5,1,6
591,2,76,1,-4,7
592,2,76,4,-4,12
593,1,250,-4,-4,12
594,2,168,5,97,36
595,2,168,4,-4,30
596,2,-3,4,-4,5
597,2,250,-4,-4,8
598,1,360,2,-4,7
599,2,-3,2,-4,8
600,-4,-4,4,-4,-4
601,-4,-4,4,-4,-4
602,-4,-4,4,-4,-4
603,2,-3,5,1,11
604,2,106,1,-4,13
605,2,300,4,-4,17
606,-4,88,4,-4,25
607,-4,88,4,-4,24
608,-4,217,4,-4,-3
609,1,630,4,-4,4
610,1,398,5,1,11
611,1,398,-4,-4,4
612,1,-3,5,1,6
613,1,245,4,-4,8
614,2,-3,5,1,11
615,1,28,-4,-4,3
616,1,28,-4,-4,5
617,2,0,4,-4,20
618,1,396,5,1,5
619,1,240,5,1,5
620,2,91,-4,-4,4
621,2,99,-4,-4,5
622,2,76,4,-4,6
623,2,76,-4,-4,5
624,2,126,1,-4,8
625,2,126,4,-4,12
626,2,75,-4,-4,8
627,1,-3,5,1,9
628,1,-3,4,-4,8
629,1,-3,5,2,8
630,2,-3,4,-4,11
631,1,-3,4,-4,12
632,1,-3,4,-4,10
633,1,-3,4,-4,9
634,1,558,-4,-4,12
635,1,-3,4,-4,12
636,1,493,5,97,5
637,2,83,4,-4,12
638,1,-3,4,-4,11
639,1,1017,4,-4,10
640,1,371,5,1,2
641,1,365,4,-4,9
642,1,475,5,1,16
643,1,475,4,-4,9
644,1,172,-4,-4,4
645,1,172,-4,-4,4
646,2,220,-4,-4,2
647,1,299,5,1,2
648,1,413,1,-4,4
649,1,413,5,1,13
650,1,413,5,1,2
651,2,20,5,1,7
652,2,20,1,-4,8
653,1,262,4,-4,2
654,1,322,4,-4,12
655,1,285,5,97,3
656,1,255,4,-4,3
657,-4,-4,-4,-4,-4
658,-4,-4,2,-4,-4
659,1,357,5,1,7
660,1,357,5,1,6
661,1,-3,1,-4,6
662,1,260,4,-4,14
663,2,-3,4,-4,8
664,2,92,5,1,10
665,1,276,-4,-4,6
666,1,149,1,-4,7
667,1,149,5,1,3
668,1,149,5,1,5
669,2,482,5,6,17
670,1,-3,5,1,1
671,-4,-4,4,-4,-4
672,1,280,4,-4,13
673,1,280,1,-4,8
674,2,78,4,-4,12
675,2,77,5,97,9
676,1,255,2,-4,7
677,1,105,4,-4,7
678,1,105,5,5,5
679,2,-3,5,1,10
680,-1,-3,5,1,6
681,2,498,4,-4,43
682,2,319,5,1,8
683,-4,-4,5,1,-4
684,2,230,-4,-4,7
685,2,-3,4,-4,12
686,2,55,4,-4,32
687,2,144,4,-4,12
688,2,-3,4,-4,17
689,2,85,5,1,7
690,1,-3,4,-4,2
691,1,-3,1,-4,7
692,1,101,4,-4,13
693,2,-3,4,-4,5
694,1,164,5,1,5
695,2,81,4,-4,5
696,2,81,1,-4,5
697,-4,-4,-4,-4,-4
698,2,198,5,1,4
699,-4,-4,5,1,-4
700,2,228,4,-4,26
701,2,228,5,97,21
702,2,54,4,-4,13
703,2,92,5,1,17
704,2,280,1,-4,8
705,1,324,5,1,7
706,1,324,4,-4,11
707,-4,-4,-4,-4,-4
708,1,703,-4,-4,1
709,1,63,4,-4,12
710,1,207,5,1,8
711,1,178,-4,-4,9
712,1,441,5,97,6
713,1,441,4,-4,15
714,1,481,5,1,6
715,1,419,4,-4,11
716,2,37,2,-4,7
717,1,471,5,1,8
718,1,913,5,1,7
719,1,-3,4,-4,10
720,1,660,4,-4,9
721,1,402,1,-4,21
722,1,402,-4,-4,5
723,1,550,5,1,5
724,1,407,1,-4,7
725,1,591,4,-4,6
726,-4,-4,4,-4,-4
727,-4,-4,5,1,-4
728,1,368,2,-4,10
729,1,452,5,2,11
730,-4,-4,4,-4,-4
731,1,786,2,-4,15
732,1,628,-4,-4,9
733,1,541,-4,-4,3
734,1,541,4,-4,13
735,1,734,4,-4,13
736,1,734,-4,-4,8
737,1,-3,4,-4,6
738,1,374,4,-4,12
739,1,374,5,10,6
740,1,611,4,-4,12
741,1,-3,2,-4,10
742,1,-3,4,-4,18
743,1,473,-4,-4,3
744,1,473,-4,-4,2
745,1,1627,4,-4,11
746,1,1627,4,-4,10
747,1,1627,5,1,5
748,-4,-4,4,-4,-4
749,2,230,4,-4,7
750,2,0,4,-4,17
751,2,0,4,-4,15
752,2,31,5,1,7
753,1,283,4,-4,1
754,1,525,1,-4,3
755,1,160,-4,-4,4
756,1,160,-4,-4,1
757,1,671,5,1,9
758,1,524,-4,-4,3
759,1,614,5,1,3
760,1,159,-4,-4,1
761,1,584,-4,-4,4
762,1,1627,-4,-4,7
763,1,410,4,-4,9
764,2,105,5,1,6
765,1,304,4,-4,14
766,1,475,-4,-4,1
767,1,176,4,-4,9
768,1,-3,5,1,7
769,1,301,4,-4,6
770,1,358,-4,-4,5
772,1,462,5,5,13
773,-4,-4,-4,-4,-4
774,1,163,5,1,11
775,2,-3,5,3,14
776,-4,-4,4,-4,-4
777,-4,-4,-4,-4,-4
778,1,378,4,-4,14
779,2,38,4,-4,16
780,2,38,4,-4,9
781,2,427,5,1,1
782,2,427,4,-4,20
783,2,427,5,1,6
784,1,443,-4,-4,-3
785,1,486,4,-4,9
786,1,-3,-4,-4,1
787,1,-3,-4,-4,1
788,1,399,1,-4,8
789,1,554,5,1,13
790,1,554,5,97,10
791,1,480,5,1,7
792,1,391,5,1,2
793,1,391,5,1,2
794,1,465,4,-4,6
795,1,713,4,-4,7
796,1,352,4,-4,7
797,1,602,1,-4,7
798,1,457,1,-4,4
799,1,659,5,1,15
800,1,732,3,-4,11
801,1,732,5,1,12
802,2,249,4,-4,16
803,2,156,4,-4,15
804,2,95,-4,-4,2
805,1,417,4,-4,8
806,1,417,5,1,4
807,1,272,4,-4,14
808,1,272,1,-4,6
809,2,186,-4,-4,10
810,2,186,1,-4,10
811,1,409,2,-4,4
812,-4,-4,2,-4,-4
813,1,-3,4,-4,9
814,2,71,5,97,18
815,1,279,4,-4,6
816,1,60,4,-4,6
817,2,68,5,6,2
818,1,-3,1,-4,10
819,1,-3,5,2,6
820,1,-3,4,-4,16
821,2,346,4,-4,7
822,1,-3,4,-4,13
823,1,-3,5,1,11
824,-4,-4,5,1,-4
825,-4,-4,2,-4,-4
826,2,355,-4,-4,7
827,2,278,1,-4,11
828,1,-3,5,97,9
829,1,195,-4,-4,1
830,1,406,4,-4,12
831,1,345,4,-4,7
832,1,428,4,-4,9
833,1,416,1,-4,13
834,1,169,-4,-4,1
835,-4,-4,2,-4,-4
836,1,343,-4,-4,2
837,1,303,1,-4,8
838,1,303,5,1,17
839,1,390,2,-4,16
840,1,390,1,-4,10
841,1,1627,5,3,11
842,1,-3,4,-4,7
843,-4,-4,4,-4,-4
844,2,206,2,-4,6
845,2,274,-4,-4,1
846,2,507,4,-4,17
847,1,348,5,1,6
848,1,348,4,-4,6
849,1,-3,5,97,2
850,2,179,4,-4,9
851,2,494,4,-4,5
852,2,-3,4,-4,-4
853,2,494,5,6,7
854,2,54,-4,-4,2
855,1,-3,4,-4,18
856,2,522,4,-4,10
857,2,830,4,-4,16
858,2,830,5,1,1
859,1,-3,4,-4,1
860,1,-3,1,-4,5
861,-4,-4,5,1,-4
862,2,178,1,-4,15
863,2,178,1,-4,-3
864,2,206,4,-4,11
865,1,739,4,-4,7
866,-4,-4,-4,-4,-4
867,2,297,-4,-4,-4
868,2,144,4,-4,10
869,-4,-4,-4,-4,-4
870,2,58,5,10,10
871,2,138,4,-4,18
872,2,138,-4,-4,3
873,2,138,-4,-4,21
874,2,5,5,1,3
875,2,165,4,-4,-3
876,2,220,4,-4,20
877,2,129,-4,-4,3
878,-4,-4,4,-4,-4
879,2,121,4,-4,8
880,2,107,5,1,4
881,2,129,5,1,19
882,2,188,4,-4,9
883,1,371,1,-4,20
884,2,344,5,97,8
885,2,344,5,1,7
886,1,161,-4,-4,2
887,1,161,-4,-4,13
888,-4,-4,3,-4,-4
889,-4,-4,5,1,-4
890,-4,-4,4,-4,-4
891,-4,-4,5,10,-4
892,-4,-4,4,-4,-4
893,-4,-4,5,1,-4
894,1,-3,5,1,8
895,1,-3,1,-4,11
896,1,267,-4,-4,3
897,1,490,4,-4,11
898,2,511,-4,-4,9
899,1,1627,4,-4,18
900,1,1627,4,-4,12
901,1,374,4,-4,9
902,1,104,5,1,3
903,1,594,4,-4,5
904,2,77,4,-4,6
905,2,20,4,-4,13
906,2,-3,2,-4,13
907,2,55,-4,-4,10
908,2,13,5,97,26
909,2,13,4,-4,19
910,1,681,-4,-4,1
911,-4,-4,5,1,-4
912,1,515,4,-4,9
913,1,1627,4,-4,-3
914,1,356,-4,-4,6
915,1,597,4,-4,10
916,1,597,5,1,10
917,1,-3,4,-4,12
918,1,1627,4,-4,11
919,1,1627,4,-4,10
920,2,-3,2,-4,6
921,2,-3,4,-4,6
922,1,820,4,-4,9
923,1,302,4,-4,9
924,1,302,1,-4,12
925,2,84,4,-4,8
926,2,84,-4,-4,5
927,1,503,4,-4,2
928,1,503,5,1,7
929,1,625,5,97,14
930,2,569,4,-4,7
931,-1,-3,4,-4,7
932,1,824,4,-4,23
933,1,-3,5,1,8
934,1,-3,5,1,9
935,1,521,4,-4,5
936,1,-3,5,97,2
937,1,-3,-4,-4,3
938,1,-3,-4,-4,2
939,-4,-4,4,-4,-4
940,1,145,4,-4,15
941,-4,-4,-4,-4,-4
942,1,830,4,-4,11
943,1,830,5,1,11
944,1,597,1,-4,5
945,1,-3,4,-4,11
946,2,237,-4,-4,15
947,1,837,-4,-4,5
948,1,837,-4,-4,9
949,1,689,5,1,5
950,1,689,5,1,1
951,1,1627,2,-4,11
952,1,1627,-4,-4,2
953,1,951,5,5,10
954,1,466,-4,-4,3
955,1,660,4,-4,14
956,1,356,4,-4,16
957,1,870,4,-4,3
958,1,393,4,-4,6
959,1,393,5,1,6
960,1,1627,-4,-4,4
961,1,1627,1,-4,3
962,1,315,5,1,2
963,1,315,4,-4,15
964,1,359,4,-4,7
965,1,571,-4,-4,4
966,1,-3,4,-4,15
967,1,880,4,-4,8
968,1,507,2,-4,5
969,1,507,5,1,9
970,1,526,5,1,14
971,1,1627,5,1,8
972,2,262,4,-4,16
973,1,-3,-4,-4,10
974,1,559,4,-4,19
975,1,297,4,-4,6
976,1,297,4,-4,5
977,1,728,2,-4,5
978,1,809,4,-4,11
979,1,809,4,-4,9
980,1,-3,4,-4,12
981,1,1627,4,-4,11
982,1,-3,-4,-4,6
983,1,-3,2,-4,7
984,1,292,1,-4,8
985,2,5,-4,-4,4
986,2,150,5,1,14
987,2,150,4,-4,12
988,2,660,4,-4,9
989,1,441,4,-4,14
990,-4,-4,4,-4,-4
991,-4,-4,4,-4,-4
992,1,461,4,-4,-3
993,-4,-4,4,-4,-4
994,1,388,-4,-4,8
995,-4,412,4,-4,16
996,1,587,5,1,14
997,1,499,4,-4,4
998,1,164,4,-4,1
999,1,45,1,-4,6
1000,-4,5,5,6,-4
1001,-4,-3,5,6,-4
1002,-4,-3,4,-4,-4
1003,-4,-4,4,-4,-4
1004,-4,-3,4,-4,-4
1005,2,218,5,1,9
1006,2,218,4,-4,8
1007,1,-3,4,-4,7
1008,1,273,5,1,7
1009,1,273,1,-4,11
1010,-4,-4,1,-4,-4
1011,2,334,5,97,17
